timestamp,Resistance
802.5,11.9411
803,11.9421
803.5,11.943
804,11.9439
804.5,11.9448
805,11.9458
805.5,11.9466
806,11.9476
806.5,11.9485
807,11.9494
807.5,11.9502
808,11.9511
808.5,11.952
809,11.9528
809.5,11.9536
810,11.9545
810.5,11.9552
811,11.956
811.5,11.9568
812,11.9574
812.5,11.9582
813,11.9589
813.5,11.9596
814,11.9602
814.5,11.9608
815,11.9615
815.5,11.962
816,11.9626
816.5,11.9632
817,11.9637
817.5,11.9642
818,11.9647
818.5,11.9652
819,11.9656
819.5,11.9661
820,11.9665
820.5,11.9669
821,11.9673
821.5,11.9677
822,11.9681
822.5,11.9684
823,11.9688
823.5,11.9692
824,11.9695
824.5,11.9698
825,11.9702
825.5,11.9705
826,11.9708
826.5,11.9711
827,11.9714
827.5,11.9717
828,11.972
828.5,11.9723
829,11.9725
829.5,11.9728
830,11.9731
830.5,11.9733
831,11.9736
831.5,11.9739
832,11.9741
832.5,11.9743
833,11.9746
833.5,11.9748
834,11.975
834.5,11.9752
835,11.9754
835.5,11.9755
836,11.9757
836.5,11.9759
837,11.976
837.5,11.9762
838,11.9763
838.5,11.9765
839,11.9766
839.5,11.9767
840,11.9769
840.5,11.977
841,11.9771
841.5,11.9772
842,11.9773
842.5,11.9774
843,11.9775
843.5,11.9776
844,11.9778
844.5,11.9779
845,11.978
845.5,11.9781
846,11.9782
846.5,11.9783
847,11.9784
847.5,11.9785
848,11.9786
848.5,11.9787
849,11.9788
849.5,11.9789
850,11.979
850.5,11.9791
851,11.9792
851.5,11.9793
852,11.9794
852.5,11.9794
853,11.9795
853.5,11.9796
854,11.9796
854.5,11.9797
855,11.9797
855.5,11.9798
856,11.9798
856.5,11.9798
857,11.9799
857.5,11.9799
858,11.9799
858.5,11.9799
859,11.9799
859.5,11.9799
860,11.9799
860.5,11.9799
861,11.9799
861.5,11.9798
862,11.9798
862.5,11.9798
863,11.9798
863.5,11.9798
864,11.9798
864.5,11.9798
865,11.9798
865.5,11.9797
866,11.9797
866.5,11.9797
867,11.9797
867.5,11.9797
868,11.9797
868.5,11.9797
869,11.9797
869.5,11.9797
870,11.9797
870.5,11.9797
871,11.9797
871.5,11.9797
872,11.9797
872.5,11.9797
873,11.9797
873.5,11.9797
874,11.9796
874.5,11.9796
875,11.9796
875.5,11.9795
876,11.9795
876.5,11.9794
877,11.9794
877.5,11.9793
878,11.9793
878.5,11.9792
879,11.9791
879.5,11.9791
880,11.979
880.5,11.9789
881,11.9788
881.5,11.9788
882,11.9787
882.5,11.9786
883,11.9786
883.5,11.9785
884,11.9784
884.5,11.9784
885,11.9783
885.5,11.9783
886,11.9782
886.5,11.9782
887,11.9781
887.5,11.9781
888,11.9781
888.5,11.978
889,11.978
889.5,11.978
890,11.9779
890.5,11.9779
891,11.9779
891.5,11.9778
892,11.9778
892.5,11.9778
893,11.9777
893.5,11.9777
894,11.9776
894.5,11.9776
895,11.9775
895.5,11.9775
896,11.9774
896.5,11.9774
897,11.9773
897.5,11.9772
898,11.9772
898.5,11.9771
899,11.977
899.5,11.977
900,11.9769
900.5,11.9768
901,11.9767
901.5,11.9767
902,11.9766
902.5,11.9765
903,11.9764
903.5,11.9764
904,11.9763
904.5,11.9763
905,11.9762
905.5,11.9762
906,11.9761
906.5,11.9761
907,11.976
907.5,11.976
908,11.976
908.5,11.9759
909,11.9759
909.5,11.9759
910,11.9758
910.5,11.9758
911,11.9758
911.5,11.9758
912,11.9757
912.5,11.9757
913,11.9757
913.5,11.9756
914,11.9756
914.5,11.9756
915,11.9755
915.5,11.9755
916,11.9754
916.5,11.9754
917,11.9753
917.5,11.9753
918,11.9752
918.5,11.9751
919,11.9751
919.5,11.975
920,11.9749
920.5,11.9748
921,11.9748
921.5,11.9747
922,11.9746
922.5,11.9746
923,11.9745
923.5,11.9744
924,11.9744
924.5,11.9743
925,11.9743
925.5,11.9742
926,11.9742
926.5,11.9741
927,11.9741
927.5,11.974
928,11.974
928.5,11.9739
929,11.9739
929.5,11.9738
930,11.9738
930.5,11.9737
931,11.9737
931.5,11.9736
932,11.9736
932.5,11.9735
933,11.9735
933.5,11.9734
934,11.9733
934.5,11.9733
935,11.9732
935.5,11.9731
936,11.973
936.5,11.9729
937,11.9728
937.5,11.9727
938,11.9726
938.5,11.9725
939,11.9724
939.5,11.9723
940,11.9721
940.5,11.972
941,11.9719
941.5,11.9718
942,11.9717
942.5,11.9716
943,11.9715
943.5,11.9713
944,11.9712
944.5,11.9711
945,11.971
945.5,11.9709
946,11.9708
946.5,11.9707
947,11.9706
947.5,11.9706
948,11.9705
948.5,11.9704
949,11.9703
949.5,11.9702
950,11.9701
950.5,11.9701
951,11.97
951.5,11.9699
952,11.9698
952.5,11.9697
953,11.9697
953.5,11.9696
954,11.9695
954.5,11.9694
955,11.9693
955.5,11.9692
956,11.9691
956.5,11.969
957,11.9689
957.5,11.9687
958,11.9686
958.5,11.9685
959,11.9684
959.5,11.9682
960,11.9681
960.5,11.968
961,11.9679
961.5,11.9677
962,11.9676
962.5,11.9675
963,11.9674
963.5,11.9672
964,11.9671
964.5,11.967
965,11.9669
965.5,11.9668
966,11.9667
966.5,11.9666
967,11.9665
967.5,11.9664
968,11.9663
968.5,11.9662
969,11.9661
969.5,11.966
970,11.966
970.5,11.9659
971,11.9658
971.5,11.9657
972,11.9656
972.5,11.9655
973,11.9654
973.5,11.9653
974,11.9652
974.5,11.9651
975,11.965
975.5,11.9649
976,11.9648
976.5,11.9646
977,11.9645
977.5,11.9644
978,11.9642
978.5,11.9641
979,11.964
979.5,11.9638
980,11.9637
980.5,11.9636
981,11.9634
981.5,11.9633
982,11.9632
982.5,11.963
983,11.9629
983.5,11.9628
984,11.9626
984.5,11.9625
985,11.9624
985.5,11.9623
986,11.9622
986.5,11.9621
987,11.962
987.5,11.9619
988,11.9618
988.5,11.9617
989,11.9616
989.5,11.9615
990,11.9614
990.5,11.9614
991,11.9613
991.5,11.9612
992,11.9611
992.5,11.961
993,11.9609
993.5,11.9608
994,11.9608
994.5,11.9607
995,11.9606
995.5,11.9605
996,11.9604
996.5,11.9603
997,11.9602
997.5,11.96
998,11.9599
998.5,11.9598
999,11.9597
999.5,11.9596
1000,11.9595
1000.5,11.9594
1001,11.9593
1001.5,11.9592
1002,11.9591
1002.5,11.959
1003,11.9589
1003.5,11.9588
1004,11.9587
1004.5,11.9586
1005,11.9586
1005.5,11.9585
1006,11.9584
1006.5,11.9584
1007,11.9583
1007.5,11.9582
1008,11.9582
1008.5,11.9581
1009,11.9581
1009.5,11.9581
1010,11.958
1010.5,11.958
1011,11.9579
1011.5,11.9579
1012,11.9579
1012.5,11.9578
1013,11.9578
1013.5,11.9578
1014,11.9577
1014.5,11.9577
1015,11.9576
1015.5,11.9576
1016,11.9575
1016.5,11.9575
1017,11.9574
1017.5,11.9573
1018,11.9573
1018.5,11.9572
1019,11.9571
1019.5,11.9571
1020,11.957
1020.5,11.9569
1021,11.9569
1021.5,11.9568
1022,11.9567
1022.5,11.9567
1023,11.9566
1023.5,11.9566
1024,11.9565
1024.5,11.9565
1025,11.9564
1025.5,11.9564
1026,11.9563
1026.5,11.9563
1027,11.9563
1027.5,11.9562
1028,11.9562
1028.5,11.9562
1029,11.9562
1029.5,11.9561
1030,11.9561
1030.5,11.9561
1031,11.9561
1031.5,11.9561
1032,11.956
1032.5,11.956
1033,11.956
1033.5,11.956
1034,11.9559
1034.5,11.9559
1035,11.9559
1035.5,11.9558
1036,11.9558
1036.5,11.9557
1037,11.9557
1037.5,11.9556
1038,11.9556
1038.5,11.9555
1039,11.9554
1039.5,11.9554
1040,11.9553
1040.5,11.9553
1041,11.9552
1041.5,11.9552
1042,11.9551
1042.5,11.955
1043,11.955
1043.5,11.955
1044,11.9549
1044.5,11.9549
1045,11.9549
1045.5,11.9548
1046,11.9548
1046.5,11.9548
1047,11.9548
1047.5,11.9548
1048,11.9548
1048.5,11.9547
1049,11.9547
1049.5,11.9547
1050,11.9547
1050.5,11.9547
1051,11.9548
1051.5,11.9548
1052,11.9548
1052.5,11.9548
1053,11.9548
1053.5,11.9547
1054,11.9547
1054.5,11.9547
1055,11.9547
1055.5,11.9547
1056,11.9547
1056.5,11.9547
1057,11.9546
1057.5,11.9546
1058,11.9546
1058.5,11.9545
1059,11.9545
1059.5,11.9545
1060,11.9544
1060.5,11.9544
1061,11.9544
1061.5,11.9543
1062,11.9543
1062.5,11.9543
1063,11.9543
1063.5,11.9542
1064,11.9542
1064.5,11.9542
1065,11.9542
1065.5,11.9542
1066,11.9542
1066.5,11.9542
1067,11.9542
1067.5,11.9542
1068,11.9542
1068.5,11.9542
1069,11.9542
1069.5,11.9542
1070,11.9542
1070.5,11.9543
1071,11.9543
1071.5,11.9543
1072,11.9543
1072.5,11.9543
1073,11.9543
1073.5,11.9543
1074,11.9543
1074.5,11.9543
1075,11.9543
1075.5,11.9542
1076,11.9542
1076.5,11.9542
1077,11.9541
1077.5,11.9541
1078,11.954
1078.5,11.954
1079,11.9539
1079.5,11.9538
1080,11.9537
1080.5,11.9537
1081,11.9536
1081.5,11.9534
1082,11.9533
1082.5,11.9532
1083,11.9531
1083.5,11.9529
1084,11.9528
1084.5,11.9526
1085,11.9525
1085.5,11.9523
1086,11.9521
1086.5,11.9519
1087,11.9517
1087.5,11.9515
1088,11.9512
1088.5,11.951
1089,11.9508
1089.5,11.9505
1090,11.9502
1090.5,11.9499
1091,11.9496
1091.5,11.9493
1092,11.949
1092.5,11.9486
1093,11.9483
1093.5,11.9479
1094,11.9475
1094.5,11.9471
1095,11.9467
1095.5,11.9463
1096,11.9459
1096.5,11.9454
1097,11.945
1097.5,11.9445
1098,11.9441
1098.5,11.9436
1099,11.9431
1099.5,11.9426
1100,11.9421
1100.5,11.9417
1101,11.9412
1101.5,11.9407
1102,11.9403
1102.5,11.9398
1103,11.9393
1103.5,11.9388
1104,11.9384
1104.5,11.9379
1105,11.9374
1105.5,11.937
1106,11.9366
1106.5,11.9361
1107,11.9357
1107.5,11.9353
1108,11.9349
1108.5,11.9345
1109,11.9341
1109.5,11.9337
1110,11.9333
1110.5,11.933
1111,11.9326
1111.5,11.9322
1112,11.9318
1112.5,11.9315
1113,11.9311
1113.5,11.9308
1114,11.9304
1114.5,11.93
1115,11.9296
1115.5,11.9293
1116,11.9289
1116.5,11.9286
1117,11.9283
1117.5,11.9279
1118,11.9275
1118.5,11.9272
1119,11.9268
1119.5,11.9265
1120,11.9262
1120.5,11.9258
1121,11.9255
1121.5,11.9251
1122,11.9248
1122.5,11.9245
1123,11.9242
1123.5,11.9239
1124,11.9236
1124.5,11.9233
1125,11.923
